#-t-Fk-Fk2-stdev-sterr
0.000000 1.0000000000 -nan -nan
141000.000000 0.2634765509 0.3852547517 0.0616901321
142000.000000 0.2344122625 0.3780414300 0.0605350763
143000.000000 0.2223244968 0.3855729547 0.0617410854
144000.000000 0.2219771486 0.3856955086 0.0617607097
145000.000000 0.2150529715 0.3898329754 0.0624232346
146000.000000 0.2170041040 0.3893928252 0.0623527542
147000.000000 0.2204724038 0.3791277181 0.0607090216
148000.000000 0.2227529815 0.3806325081 0.0609499808
149000.000000 0.2133161325 0.3867389275 0.0619277905
150000.000000 0.2091374844 0.3972430466 0.0636097957
151000.000000 0.2070697299 0.3934047012 0.0629951685
152000.000000 0.2029210751 0.3843296910 0.0615420039
153000.000000 0.1969233599 0.3725097782 0.0596493031
154000.000000 0.2055221410 0.3719195347 0.0595547885
155000.000000 0.1916512396 0.3711299067 0.0594283468
156000.000000 0.1882865873 0.3752905122 0.0600945769
157000.000000 0.1652419941 0.3592461624 0.0575254247
158000.000000 0.1559084410 0.3521410470 0.0563876957
159000.000000 0.1756999906 0.3594143994 0.0575523642
160000.000000 0.1684960240 0.3488680762 0.0558636010
161000.000000 0.1669010942 0.3519945552 0.0563642383
162000.000000 0.1558669906 0.3515679300 0.0562959236
163000.000000 0.1726504016 0.3512788840 0.0562496392
164000.000000 0.1616799099 0.3490955802 0.0559000308
165000.000000 0.1611139871 0.3440803947 0.0550969584
166000.000000 0.1668150486 0.3507504188 0.0561650170
167000.000000 0.1588250612 0.3545897531 0.0567798025
168000.000000 0.1530476232 0.3682652656 0.0589696371
169000.000000 0.1511043853 0.3584927080 0.0574047755
170000.000000 0.1447378596 0.3635607851 0.0582163173
171000.000000 0.1576770774 0.3775948617 0.0604635681
172000.000000 0.1553279540 0.3669512409 0.0587592247
173000.000000 0.1585093287 0.3800649872 0.0608591047
174000.000000 0.1397722931 0.3710641266 0.0594178135
175000.000000 0.1343776708 0.3636528431 0.0582310584
176000.000000 0.1398573774 0.3768907449 0.0603508192
177000.000000 0.1404971377 0.3714706845 0.0594829149
178000.000000 0.1338954120 0.3822016214 0.0612012400
179000.000000 0.1416380041 0.3776100959 0.0604660075
180000.000000 0.1513514642 0.3836413979 0.0614317888
